type,size,time
naive_multiplication,150,0.010793
better_multiplication,150,0.010519
BLAS_multiplication,150,0.001649
naive_multiplication,150,0.011214
better_multiplication,150,0.011067
BLAS_multiplication,150,0.001538
naive_multiplication,150,0.010518
better_multiplication,150,0.010509
BLAS_multiplication,150,0.001593
naive_multiplication,150,0.010823
better_multiplication,150,0.010652
BLAS_multiplication,150,0.001651
naive_multiplication,150,0.011047
better_multiplication,150,0.011171
BLAS_multiplication,150,0.001602
naive_multiplication,150,0.011997
better_multiplication,150,0.011255
BLAS_multiplication,150,0.001583
naive_multiplication,150,0.010374
better_multiplication,150,0.009942
BLAS_multiplication,150,0.001522
naive_multiplication,150,0.010285
better_multiplication,150,0.010335
BLAS_multiplication,150,0.001670
naive_multiplication,150,0.010102
better_multiplication,150,0.010262
BLAS_multiplication,150,0.001496
naive_multiplication,150,0.010235
better_multiplication,150,0.010691
BLAS_multiplication,150,0.001625
naive_multiplication,300,0.086394
better_multiplication,300,0.079487
BLAS_multiplication,300,0.011325
naive_multiplication,300,0.088435
better_multiplication,300,0.079070
BLAS_multiplication,300,0.011335
naive_multiplication,300,0.087717
better_multiplication,300,0.079519
BLAS_multiplication,300,0.011457
naive_multiplication,300,0.086759
better_multiplication,300,0.078936
BLAS_multiplication,300,0.011323
naive_multiplication,300,0.086966
better_multiplication,300,0.079604
BLAS_multiplication,300,0.011596
naive_multiplication,300,0.088011
better_multiplication,300,0.080202
BLAS_multiplication,300,0.011435
naive_multiplication,300,0.088290
better_multiplication,300,0.079493
BLAS_multiplication,300,0.011339
naive_multiplication,300,0.086479
better_multiplication,300,0.079833
BLAS_multiplication,300,0.011617
naive_multiplication,300,0.087712
better_multiplication,300,0.079791
BLAS_multiplication,300,0.011348
naive_multiplication,300,0.086682
better_multiplication,300,0.080200
BLAS_multiplication,300,0.011406
naive_multiplication,450,0.302719
better_multiplication,450,0.269204
BLAS_multiplication,450,0.039572
naive_multiplication,450,0.301543
better_multiplication,450,0.270370
BLAS_multiplication,450,0.040313
naive_multiplication,450,0.303318
better_multiplication,450,0.266786
BLAS_multiplication,450,0.040095
naive_multiplication,450,0.305476
better_multiplication,450,0.267251
BLAS_multiplication,450,0.039606
naive_multiplication,450,0.301967
better_multiplication,450,0.268499
BLAS_multiplication,450,0.040201
naive_multiplication,450,0.301824
better_multiplication,450,0.267315
BLAS_multiplication,450,0.040436
naive_multiplication,450,0.302073
better_multiplication,450,0.268167
BLAS_multiplication,450,0.040059
naive_multiplication,450,0.300033
better_multiplication,450,0.271438
BLAS_multiplication,450,0.039478
naive_multiplication,450,0.302771
better_multiplication,450,0.266863
BLAS_multiplication,450,0.039224
naive_multiplication,450,0.300930
better_multiplication,450,0.267932
BLAS_multiplication,450,0.040517
naive_multiplication,600,0.751735
better_multiplication,600,0.634030
BLAS_multiplication,600,0.095917
naive_multiplication,600,0.755303
better_multiplication,600,0.633746
BLAS_multiplication,600,0.097187
naive_multiplication,600,0.770399
better_multiplication,600,0.635640
BLAS_multiplication,600,0.097758
naive_multiplication,600,0.748806
better_multiplication,600,0.635002
BLAS_multiplication,600,0.096775
naive_multiplication,600,0.750356
better_multiplication,600,0.632903
BLAS_multiplication,600,0.096721
naive_multiplication,600,0.751173
better_multiplication,600,0.631939
BLAS_multiplication,600,0.096657
naive_multiplication,600,0.749181
better_multiplication,600,0.632198
BLAS_multiplication,600,0.096459
naive_multiplication,600,0.748761
better_multiplication,600,0.634849
BLAS_multiplication,600,0.096985
naive_multiplication,600,0.751993
better_multiplication,600,0.632098
BLAS_multiplication,600,0.096150
naive_multiplication,600,0.749186
better_multiplication,600,0.631850
BLAS_multiplication,600,0.096554
naive_multiplication,750,1.533529
better_multiplication,750,1.237067
BLAS_multiplication,750,0.196757
naive_multiplication,750,1.559847
better_multiplication,750,1.247913
BLAS_multiplication,750,0.194162
naive_multiplication,750,1.551677
better_multiplication,750,1.249563
BLAS_multiplication,750,0.197083
naive_multiplication,750,1.541862
better_multiplication,750,1.249010
BLAS_multiplication,750,0.196129
naive_multiplication,750,1.543452
better_multiplication,750,1.243579
BLAS_multiplication,750,0.194693
naive_multiplication,750,1.539569
better_multiplication,750,1.244805
BLAS_multiplication,750,0.194817
naive_multiplication,750,1.536777
better_multiplication,750,1.244812
BLAS_multiplication,750,0.196332
naive_multiplication,750,1.549664
better_multiplication,750,1.247071
BLAS_multiplication,750,0.190889
naive_multiplication,750,1.547858
better_multiplication,750,1.244541
BLAS_multiplication,750,0.195178
naive_multiplication,750,1.540371
better_multiplication,750,1.243584
BLAS_multiplication,750,0.192110
naive_multiplication,900,3.142069
better_multiplication,900,2.160944
BLAS_multiplication,900,0.375730
naive_multiplication,900,3.130907
better_multiplication,900,2.163498
BLAS_multiplication,900,0.382779
naive_multiplication,900,3.089202
better_multiplication,900,2.158319
BLAS_multiplication,900,0.374559
naive_multiplication,900,3.092022
better_multiplication,900,2.152527
BLAS_multiplication,900,0.383274
naive_multiplication,900,3.139486
better_multiplication,900,2.162063
BLAS_multiplication,900,0.381043
naive_multiplication,900,3.102964
better_multiplication,900,2.159095
BLAS_multiplication,900,0.380247
naive_multiplication,900,3.141795
better_multiplication,900,2.164319
BLAS_multiplication,900,0.384267
naive_multiplication,900,3.102274
better_multiplication,900,2.166358
BLAS_multiplication,900,0.389769
naive_multiplication,900,3.246070
better_multiplication,900,2.181400
BLAS_multiplication,900,0.386401
naive_multiplication,900,3.090687
better_multiplication,900,2.153292
BLAS_multiplication,900,0.386141
naive_multiplication,1050,5.119971
better_multiplication,1050,3.423335
BLAS_multiplication,1050,0.760614
naive_multiplication,1050,5.137482
better_multiplication,1050,3.432804
BLAS_multiplication,1050,0.753919
naive_multiplication,1050,5.127015
better_multiplication,1050,3.427919
BLAS_multiplication,1050,0.764662
naive_multiplication,1050,5.095910
better_multiplication,1050,3.427382
BLAS_multiplication,1050,0.745740
naive_multiplication,1050,5.127004
better_multiplication,1050,3.432317
BLAS_multiplication,1050,0.752224
naive_multiplication,1050,5.122995
better_multiplication,1050,3.414042
BLAS_multiplication,1050,0.756632
naive_multiplication,1050,5.141810
better_multiplication,1050,3.430683
BLAS_multiplication,1050,0.752580
naive_multiplication,1050,5.139311
better_multiplication,1050,3.428870
BLAS_multiplication,1050,0.749000
naive_multiplication,1050,5.160877
better_multiplication,1050,3.421643
BLAS_multiplication,1050,0.761179
naive_multiplication,1050,5.124979
better_multiplication,1050,3.425351
BLAS_multiplication,1050,0.761845
naive_multiplication,1200,9.369009
better_multiplication,1200,5.117690
BLAS_multiplication,1200,1.311159
naive_multiplication,1200,9.211294
better_multiplication,1200,5.314285
BLAS_multiplication,1200,1.311255
naive_multiplication,1200,10.466440
better_multiplication,1200,5.267555
BLAS_multiplication,1200,1.300820
naive_multiplication,1200,9.816814
better_multiplication,1200,5.195622
BLAS_multiplication,1200,1.306646
naive_multiplication,1200,9.395181
better_multiplication,1200,5.131477
BLAS_multiplication,1200,1.317914
naive_multiplication,1200,9.375226
better_multiplication,1200,5.126770
BLAS_multiplication,1200,1.319291
naive_multiplication,1200,9.338489
better_multiplication,1200,5.122787
BLAS_multiplication,1200,1.305188
naive_multiplication,1200,9.246708
better_multiplication,1200,5.128573
BLAS_multiplication,1200,1.306319
naive_multiplication,1200,9.465435
better_multiplication,1200,5.545336
BLAS_multiplication,1200,1.341641
naive_multiplication,1200,9.519139
better_multiplication,1200,5.105894
BLAS_multiplication,1200,1.312229
naive_multiplication,1350,10.710339
better_multiplication,1350,7.268696
BLAS_multiplication,1350,1.764445
naive_multiplication,1350,10.729645
better_multiplication,1350,7.266543
BLAS_multiplication,1350,1.800463
naive_multiplication,1350,10.784923
better_multiplication,1350,7.257515
BLAS_multiplication,1350,1.812057
naive_multiplication,1350,11.060014
better_multiplication,1350,7.295791
BLAS_multiplication,1350,1.740344
naive_multiplication,1350,10.710030
better_multiplication,1350,7.270033
BLAS_multiplication,1350,1.722814
naive_multiplication,1350,10.720802
better_multiplication,1350,7.266413
BLAS_multiplication,1350,1.790352
naive_multiplication,1350,10.778086
better_multiplication,1350,7.275164
BLAS_multiplication,1350,1.775505
naive_multiplication,1350,10.709028
better_multiplication,1350,7.263177
BLAS_multiplication,1350,1.798536
naive_multiplication,1350,10.842380
better_multiplication,1350,7.286311
BLAS_multiplication,1350,1.765599
naive_multiplication,1350,10.784568
better_multiplication,1350,7.275641
BLAS_multiplication,1350,1.801145
naive_multiplication,1500,18.966682
better_multiplication,1500,9.966362
BLAS_multiplication,1500,2.401045
naive_multiplication,1500,18.900431
better_multiplication,1500,9.995910
BLAS_multiplication,1500,2.401189
naive_multiplication,1500,18.931157
better_multiplication,1500,9.987831
BLAS_multiplication,1500,2.402020
naive_multiplication,1500,19.048949
better_multiplication,1500,9.968615
BLAS_multiplication,1500,2.406413
naive_multiplication,1500,18.844895
better_multiplication,1500,9.980346
BLAS_multiplication,1500,2.403091
naive_multiplication,1500,18.839914
better_multiplication,1500,9.952111
BLAS_multiplication,1500,2.398650
naive_multiplication,1500,19.013911
better_multiplication,1500,9.958246
BLAS_multiplication,1500,2.401397
naive_multiplication,1500,18.878230
better_multiplication,1500,10.253883
BLAS_multiplication,1500,2.454017
naive_multiplication,1500,20.211933
better_multiplication,1500,9.981804
BLAS_multiplication,1500,2.399892
naive_multiplication,1500,18.807327
better_multiplication,1500,9.988086
BLAS_multiplication,1500,2.411365
